sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	Enterococcus faecalis	Enterococcus faecalis	1	1	Meas Value	4302157	Enterococcus faecalis	2057
urn:ordercomms:rtest:textual-result	POSITIVE	POSITIVE	1	1	Meas Value	9191	Positive	1880
urn:ordercomms:rtest:textual-result	Streptococcus milleri	Streptococcus milleri	0.5	1	Meas Value	4240344	Streptococcus	1850
urn:ordercomms:rtest:textual-result	Gram positive cocci: scanty.	Gram positive cocci: scanty.	0.340619527	1	Meas Value	4241096	Gram-positive coccus	1777
urn:ordercomms:rtest:textual-result	Gram positive cocci +	Gram positive cocci +	0.422649731	1	Meas Value	4241096	Gram-positive coccus	1605
urn:ordercomms:rtest:textual-result	Cryptosporidium sp. NOT detected.	Cryptosporidium sp. NOT detected.	0.374456758	1	Meas Value	9190	Not detected	1588
urn:ordercomms:rtest:textual-result	MSSA NOT isolated after 24 hours.	MSSA NOT isolated after 24 hours.	0.252912632	1	Meas Value	4142856	Not isolated	1578
urn:ordercomms:rtest:textual-result	Enterobacter cloacae	Enterobacter cloacae	1	1	Meas Value	4030716	Enterobacter cloacae	1545
urn:ordercomms:rtest:textual-result	Staphylococcus epidermidis	Staphylococcus epidermidis	1	1	Meas Value	4246180	Staphylococcus epidermidis	1533
urn:ordercomms:rtest:textual-result	DETECTED by PCR	DETECTED by PCR	0.422649731	1	Meas Value	4126681	Detected	1495
urn:ordercomms:rtest:textual-result	Enterococcus faecium	Enterococcus faecium	1	1	Meas Value	4234555	Enterococcus faecium	1437
urn:ordercomms:rtest:textual-result	Salmonella sp.	Salmonella sp.	0.573598567	1	Meas Value	4099188	Salmonella	1267
urn:ordercomms:rtest:textual-result	Clue cells NOT seen.	Clue cells NOT seen.	0.240445475	1	Meas Value	9190	Not detected	1254
urn:ordercomms:rtest:textual-result	Clostridium sp.	Clostridium sp.	0.59175171	1	Meas Value	4218244	Clostridium	1175
urn:ordercomms:rtest:textual-result	Giardia lamblia NOT detected.	Giardia lamblia NOT detected.	0.283885126	1	Meas Value	9190	Not detected	1158
urn:ordercomms:rtest:textual-result	Gram positive cocci ++	Gram positive cocci ++	0.408392022	1	Meas Value	4241096	Gram-positive coccus	1149
urn:ordercomms:rtest:textual-result	Diphtheroid	Diphtheroid	0.78178211	1	Meas Value	4184593	Diphtheroids	1146
urn:ordercomms:rtest:textual-result	Proteus mirabilis	Proteus mirabilis	1	1	Meas Value	4248426	Proteus mirabilis	1062
urn:ordercomms:rtest:textual-result	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	1	1	Meas Value	4034125	Stenotrophomonas maltophilia	1017
urn:ordercomms:rtest:textual-result	Yeast +++	Yeast +++	0.422649731	1	Meas Value	4265186	Yeast	987
urn:ordercomms:rtest:textual-result	NEUTROPHILS NOT SEEN	NEUTROPHILS NOT SEEN	0.240445475	1	Meas Value	9190	Not detected	871
urn:ordercomms:rtest:textual-result	Giardia lamblia Detected.	Giardia lamblia Detected.	0.487010824	1	Meas Value	4301615	Giardia lamblia	863
urn:ordercomms:rtest:textual-result	Acid/Alcohol fast bacilli SEEN	Acid/Alcohol fast bacilli SEEN	0.292893219	1	Meas Value	4348173	Acid and alcohol-fast bacillus	831
